id,name,campaign_id,adset_id,status,effective_status,created_time,updated_time,format,headline,primary_text,description,CTA,destination,url_tags,form_version,experiment_cell,creative_variant,image,creative_id,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,campaign_label,operating_window,campaign_spend_share_pct,set_spend_share_pct,completion_evidence,measurement_flags,level,adset_name,campaign_name,days_live_observed_delivery_through_Sep18,first_observed_delivery_day,last_observed_delivery_day,ever_delivered_asof_Sep19,Sep19_partial_spend,Sep19_partial_impressions,image_url,meta_actions_unreconciled,meta_conversions_unreconciled,review_feedback
120250540502130660,CP - form - v03 We cut a property's rate 40%,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:44:19-0400,2026-08-17T22:47:32-0400,static image,We cut a property's rate 40%,"This owner was paying $25,000 a year to insure their building. Same coverage, we got it to $15,000 - 40% off. Own a building? Want us to check yours?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/bd3e32a7fedb9c94.jpg,1576092197584432,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/bd3e32a7fedb9c94.jpg,[],[],{}
120250540502940660,"CP - form - v04 We saved a property owner $10,",120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:44:26-0400,2026-08-17T22:46:58-0400,static image,"We saved a property owner $10,000/yr","$25,000 down to $15,000 in premium, same coverage. If you own a building, want us to check what you're overpaying?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/3a9b3de127ee8e70.jpg,1032287436077359,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/3a9b3de127ee8e70.jpg,[],[],{}
120250540503900660,CP - form - v10 Own an apartment building?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:44:33-0400,2026-08-17T22:47:26-0400,static image,Own an apartment building?,"We insure apartment buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/de887c3d47c509c0.jpg,1106317868723941,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/de887c3d47c509c0.jpg,[],[],{}
120250540504710660,CP - form - v11 Overpaying on your building?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:44:40-0400,2026-08-17T22:47:31-0400,static image,Overpaying on your building?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own an apartment building? Want us to check your rate?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/20cb7207a137f0fb.jpg,1363614482595225,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/20cb7207a137f0fb.jpg,[],[],{}
120250540505130660,CP - form - v12 Lease space to tenants?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:44:47-0400,2026-08-17T22:47:30-0400,static image,Lease space to tenants?,"We insure commercial buildings and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/d1208e81362cd210.jpg,1085305647502642,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/d1208e81362cd210.jpg,[],[],{}
120250540505860660,CP - form - v13 Building policy renewing?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:44:54-0400,2026-08-17T22:47:29-0400,static image,Building policy renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/476142624da0dcb6.jpg,1041771132159023,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/476142624da0dcb6.jpg,[],[],{}
120250540506820660,CP - form - v14 Own a storage facility?,120250540492410660,120250540492550660,PAUSED,PAUSED,2026-08-11T23:45:01-0400,2026-08-17T22:47:17-0400,static image,Own a storage facility?,"We insure self-storage and mini-warehouse properties. One building owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/0a0854ae0a45c9fe.jpg,2305733140235999,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/0a0854ae0a45c9fe.jpg,[],[],{}
120250540509260660,CP - form - v15 Building sitting empty?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:45:08-0400,2026-08-17T22:47:23-0400,static image,Building sitting empty?,"Most insurers won't touch a vacant building - we place what they decline. And we save owners real money, one recently by $10,000 a year. Want a quote?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/dc75a46ad5cb6a88.jpg,1776450597015255,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/dc75a46ad5cb6a88.jpg,[],[],{}
120250540511200660,CP - form - v16 Renovating a building?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:45:15-0400,2026-08-17T22:47:13-0400,static image,Renovating a building?,"Vacant or under renovation, we get it covered while standard carriers walk away. One owner we quoted went from $25,000 to $15,000 a year. Want a rate check?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/10cde96f1ff4a719.jpg,1409732884365918,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/10cde96f1ff4a719.jpg,[],[],{}
120250540513260660,CP - form - v18 More than one building?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:45:22-0400,2026-08-17T22:47:30-0400,static image,More than one building?,"We insure landlords with multiple buildings under one roof. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/5b2b22e508d438d1.jpg,1385735306983620,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/5b2b22e508d438d1.jpg,[],[],{}
120250540514380660,CP - form - v19 Own a building?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:45:29-0400,2026-08-17T22:47:29-0400,static image,Own a building?,"Apartments, mixed-use, commercial - whatever you own, we'll check what you're paying to insure it. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/85789cf25fef56fd.jpg,1321111946489131,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/85789cf25fef56fd.jpg,[],[],{}
120250540515620660,CP - form - v20 Own a senior living facility?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:45:35-0400,2026-08-17T22:46:57-0400,static image,Own a senior living facility?,"We insure senior living and assisted-living buildings (commercial property). One owner we quoted saved $10,000 a year, same coverage - and we get COIs to your lender fast. Want us to check yours?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/b15b02831e323b79.jpg,3888700011267705,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/b15b02831e323b79.jpg,[],[],{}
120250540517230660,CP - form - v21 Own a gym or fitness building?,120250540492410660,120250540492550660,ACTIVE,ADSET_PAUSED,2026-08-11T23:45:42-0400,2026-08-17T22:47:32-0400,static image,Own a gym or fitness building?,"We insure the building your gym or studio operates in (commercial property). One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",,GET_QUOTE,https://www.cohesiveinsure.com/commercial-property,,Property long,"See property route; starts added Sep19, not backfilled",,images/177c40d677cd38cc.jpg,1589404669213288,0,0,0,,,,0,0,,0,,,,Main property,2026-08-18 to 2026-09-18,0.0,0,No delivery through Sep18,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns",AD,CP - instant form (23 states) - $50/day,Commercial Property - form vs landing (2-cell),0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/177c40d677cd38cc.jpg,[],[],{}
