adset_id,ad_id,ad_name,effective_status,theme,headline,primary_text,spend,impressions,link_clicks,CPM,link_CTR,link_CPC,form_starts,completions,CPL
120250682685570660,120250682707610660,CP steps - rel_building,ACTIVE,Church / house of worship,Own the building your congregation worships in?,"Own the building your congregation worships in? We insure the property itself, fire, wind, water damage and lost income. We use AI to automatically shop it across our carriers and send your quote by text. No phone call needed.",728.9,21788,224,33.45,1.028,3.25,Not measured: before September 19 fix,31,23.51
120250540493670660,120250540502680660,CP - landing - v03 We cut a property's rate 40%,ACTIVE,General building owner: savings,We cut a property's rate 40%,"This owner was paying $25,000 a year to insure their building. Same coverage, we got it to $15,000 - 40% off. Own a building? Want us to check yours?",177.36,2875,36,61.69,1.252,4.93,Not measured: before September 19 fix,7,25.34
120250682685570660,120250682694730660,CP - steps - focus_plaza_own_prop Own a commercial property?,ACTIVE,Retail / plaza / commercial owner,Own a commercial property?,"Retail plaza, strip center, or storefront - if you own a commercial building, we'll check what you're paying to insure it. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",19.95,308,3,64.77,0.974,6.65,Not measured: before September 19 fix,1,19.95
120250540493670660,120250571668020660,CP - landing - focus_plaza_own_prop Own a commercial property?,ACTIVE,Retail / plaza / commercial owner,Own a commercial property?,"Retail plaza, strip center, or storefront - if you own a commercial building, we'll check what you're paying to insure it. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",22.91,396,2,57.85,0.505,11.46,Not measured: before September 19 fix,0,
120250682685570660,120250682708130660,CP steps - rel_roof,ACTIVE,Church / house of worship,When was the sanctuary roof last replaced?,"Older sanctuary? A roof, wiring or plumbing update in the last 20 years can mean a very different rate on the building. We use AI to automatically shop it across our carriers and text you what it comes back at.",9.02,259,2,34.83,0.772,4.51,Not measured: before September 19 fix,0,
120250540493670660,120250571668580660,CP - landing - focus_plaza_own_bldg Own a commercial building?,ACTIVE,Retail / plaza / commercial owner,Own a commercial building?,"We insure commercial buildings - retail, plazas, offices. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check what you're overpaying?",4.69,67,3,70.0,4.478,1.56,Not measured: before September 19 fix,0,
120250682685570660,120250682696560660,CP - steps - v03 We cut a property's rate 40%,ACTIVE,General building owner: savings,We cut a property's rate 40%,"This owner was paying $25,000 a year to insure their building. Same coverage, we got it to $15,000 - 40% off. Own a building? Want us to check yours?",2.26,31,0,72.9,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540514070660,CP - landing - v18 More than one building?,ACTIVE,Multiple-building landlord,More than one building?,"We insure landlords with multiple buildings under one roof. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",1.37,9,0,152.22,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682699320660,CP - steps - v15 Building sitting empty?,ACTIVE,Vacant building,Building sitting empty?,"Most insurers won't touch a vacant building - we place what they decline. And we save owners real money, one recently by $10,000 a year. Want a quote?",0.96,7,0,137.14,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540510480660,CP - landing - v15 Building sitting empty?,ACTIVE,Vacant building,Building sitting empty?,"Most insurers won't touch a vacant building - we place what they decline. And we save owners real money, one recently by $10,000 a year. Want a quote?",0.94,8,0,117.5,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540511980660,CP - landing - v16 Renovating a building?,ACTIVE,Renovation / vacant building,Renovating a building?,"Vacant or under renovation, we get it covered while standard carriers walk away. One owner we quoted went from $25,000 to $15,000 a year. Want a rate check?",0.78,13,0,60.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682695220660,CP - steps - v16 Renovating a building?,ACTIVE,Renovation / vacant building,Renovating a building?,"Vacant or under renovation, we get it covered while standard carriers walk away. One owner we quoted went from $25,000 to $15,000 a year. Want a rate check?",0.69,8,0,86.25,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682693620660,CP - steps - focus_plaza_retail Own retail or plaza space?,ACTIVE,Retail / plaza / commercial owner,Own retail or plaza space?,"We insure strip centers and retail plazas and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",0.68,4,0,170.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540514800660,CP - landing - v19 Own a building?,ACTIVE,Apartment building owner,Own a building?,"Apartments, mixed-use, commercial - whatever you own, we'll check what you're paying to insure it. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0.55,9,0,61.11,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682691700660,CP - steps - v22 Bank asking for proof of insur,ACTIVE,Lender proof / financing,Bank asking for proof of insurance?,"If your lender needs evidence of property insurance to close, we get the COI (with mortgagee clause) to your bank fast. One owner we quoted also saved $10,000 a year. Need it today?",0.5,11,0,45.45,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540515910660,CP - landing - v20 Own a senior living facility?,ACTIVE,Senior / assisted living building,Own a senior living facility?,"We insure senior living and assisted-living buildings (commercial property). One owner we quoted saved $10,000 a year, same coverage - and we get COIs to your lender fast. Want us to check yours?",0.46,6,0,76.67,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540505400660,CP - landing - v12 Lease space to tenants?,ACTIVE,General landlord / mixed-use owner,Lease space to tenants?,"We insure commercial buildings and get COIs to your tenants and lender fast. One owner we quoted saved $10,000 a year. Want us to check your rate?",0.44,7,0,62.86,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250571672020660,CP - landing - focus_apt_5plus Own a 5+ unit apartment buildi,ACTIVE,Apartment building owner,Own a 5+ unit apartment building?,"We insure apartment buildings (5+ units) and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check yours?",0.42,6,0,70.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250571673380660,CP - landing - focus_apt_overpay Overpaying on your apartments?,ACTIVE,Apartment building owner,Overpaying on your apartments?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own a 5+ unit apartment building? Want us to check your rate?",0.38,5,1,76.0,20.0,0.38,Not measured: before September 19 fix,0,
120250682685570660,120250682691160660,CP - steps - focus_plaza_own_bldg Own a commercial building?,ACTIVE,Retail / plaza / commercial owner,Own a commercial building?,"We insure commercial buildings - retail, plazas, offices. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check what you're overpaying?",0.36,11,0,32.73,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682709040660,CP steps - rel_renewal,ACTIVE,Church / house of worship,Property policy renewing this month?,Is the property policy on your building renewing this month? That is the moment to see what else is out there. We use AI to automatically shop it across our carriers and text you the number. What date does it renew?,0.33,12,0,27.5,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250564537150660,CP - landing - v24 Own an office building?,ACTIVE,Office building,Own an office building?,"We insure office buildings and get COIs to your lender fast. One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",0.32,4,0,80.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540519170660,CP - landing - v22 Bank asking for proof of insur,ACTIVE,Lender proof / financing,Bank asking for proof of insurance?,"If your lender needs evidence of property insurance to close, we get the COI (with mortgagee clause) to your bank fast. One owner we quoted also saved $10,000 a year. Need it today?",0.31,7,0,44.29,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540517610660,CP - landing - v21 Own a gym or fitness building?,ACTIVE,Gym / fitness building,Own a gym or fitness building?,"We insure the building your gym or studio operates in (commercial property). One owner we quoted saved $10,000 a year, same coverage. Want us to check your rate?",0.28,2,0,140.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682692680660,CP - steps - v18 More than one building?,ACTIVE,Multiple-building landlord,More than one building?,"We insure landlords with multiple buildings under one roof. One owner we quoted went from $25,000 to $15,000 a year, same coverage. Want us to check yours?",0.25,2,0,125.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540503280660,"CP - landing - v04 We saved a property owner $10,",ACTIVE,General building owner: savings,"We saved a property owner $10,000/yr","$25,000 down to $15,000 in premium, same coverage. If you own a building, want us to check what you're overpaying?",0.23,5,0,46.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540520560660,CP - landing - v23 Financing or refinancing a bui,ACTIVE,Lender proof / financing,Financing or refinancing a building?,"Buying or refinancing? Your bank will require proof of property insurance. We handle it fast and shop your rate - one owner we quoted went from $25,000 to $15,000 a year. Want us to check yours?",0.22,5,0,44.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682708530660,CP steps - rel_lender,ACTIVE,Church / house of worship,Does your lender need proof of coverage?,"Refinancing or building, and the bank wants proof of coverage on the property? Send us the building details and we use AI to automatically shop it across our carriers. Your quote comes back by text.",0.22,5,0,44.0,0.0,,Not measured: before September 19 fix,0,
120250682685570660,120250682697210660,CP - steps - v13 Building policy renewing?,ACTIVE,Building policy renewal,Building policy renewing?,"If you own a commercial building, renewal is the moment to check your rate. One owner we quoted went from $25,000 to $15,000 a year, same coverage. When does yours renew?",0.16,4,0,40.0,0.0,,Not measured: before September 19 fix,0,
120250540493670660,120250540504870660,CP - landing - v11 Overpaying on your building?,ACTIVE,Apartment building owner,Overpaying on your building?,"One apartment owner we quoted went from $25,000 to $15,000 a year, same coverage. Own an apartment building? Want us to check your rate?",0.15,5,0,30.0,0.0,,Not measured: before September 19 fix,0,
