quoted_figure,actual_level_or_window,correct_comparison
Roofing $16.93,"AD, open-roof meme, earlier snapshot",CAMPAIGN Sep13–18 $752.84 / 6 = $125.47. Same-window meme $95.20 / 5 = $19.04. Roofing is not the cheapest vertical.
Remodeling $72.35,"AD, trade-mix, earlier snapshot","CAMPAIGN Sep13–18 $1,969.74 / 25 = $78.79; trade-mix AD $1,302.74 / 18 = $72.37."
Main property 31 / $23.13,"AD, church creative, shorter window","CAMPAIGN Aug18–Sep18 246 / $5,789.74 = $23.54. Church AD 145 / $3,090.34 = $21.31. Recent church new-acquisition share31/39=79.5%; full completed share145/246=58.9%."
Metro34 on $40/day,"CAMPAIGN history across20cities, paired with current2city budget","Current-city full-history AD SETS Chicago+Nashville $423.76 / 10 = $42.38. Same current-footprint Sep13–18 $250.02 / 4 = $62.51. Full historical CAMPAIGN $1,823.11 / 34 = $53.62."
Metro zero on $111.13,"Selected Nashville / partial snapshot, not whole campaign",Chicago9 new / $214.29; Nashville1 / $209.47 through Sep18. Neither a zero-day cut nor34-on40 defence described the live configuration.
Pool $36.27,"CAMPAIGN, Sep19 morning partial",Sep19 14:39 ET $44.56 on same4 completions. Closed Sep13–18 CAMPAIGN $176.67 completed CPL; Sep18 alone0 completions.
Pool8 completions vs jobsite109.06 / zero,"Different ADS in different AD SETS, unequal and partial windows","Gunite AD through Sep18 $837.19 / 8; jobsite AD $130.47 / 0 through Sep18, but one new completion Sep19. Pausing one does not guarantee transfer across sets."
Roof90.7% / remodel84.8% concentration,AD share within one set / shorter window,Current report provides distinct full-window AD SET share and CAMPAIGN top1/top3 shares; not interchangeable.
Contractor14day averages,Included eight pre-launch zero dates,"Six actual operating dates: pool1.83, tree1.83, remodeling4.17, roofing1.00 completions/day."
Metro2.43/day,"34 divided by14calendar days, only11operating dates",Full operation3.09/day; current-city Sep13–18 .67/day. Main full operation7.69/day;14day8.00/day is a different valid window.
Retained full campaign at current180,Historical mixed configuration including now-paused parents,"Full $12,565.73 /116; surviving parents Sep13–18 $1,283.58 /7new. Shared LARGE BUSINESS includes pool and GC; cannot allocate its whole48.30 to pool."
"25 roofing leads across $2,634",Historical cross-campaign roofing-labelled population,Not the six-day CT roofing campaign or the meme’s five completions. Actual stated trade can differ from advertised industry.
Double read time again for two sets,Equal50/50 allocation already assumed,Splitting does not mathematically double an estimate that already used half of the same campaign budget. Delivery guarantee is a separate issue.
